timestamp,class1,class2,class3,score1,score2,score3
0.0,"Inside, small room",Silence,Breathing,0.27108073,0.26441988,0.07770226
0.48,Silence,"Inside, small room",Mechanical fan,0.3662121,0.3305515,0.061311074
0.96,Silence,Speech,"Inside, small room",0.9970654,6.8630085e-05,5.9046102e-05
1.44,Silence,"Inside, small room",Speech,0.988775,0.0010762911,0.00017041816
1.92,Silence,"Inside, small room",Musical instrument,0.70383734,0.05391793,0.008325323
2.4,"Inside, small room",Silence,Mechanical fan,0.31126252,0.18278761,0.050738946
2.88,"Inside, small room",Silence,Mechanical fan,0.38027117,0.13128783,0.046414778
3.36,Silence,"Inside, small room",Writing,0.561262,0.22751443,0.034297843
3.84,Silence,"Inside, small room",Writing,0.7492399,0.096061505,0.005279741
4.32,Silence,"Inside, small room",Breathing,0.29796422,0.28564367,0.13425064
4.8,Silence,"Inside, small room",Breathing,0.5590581,0.16563226,0.015959812
5.279999999999999,Silence,"Inside, small room",Television,0.944113,0.004075573,0.000684205
5.76,Silence,"Inside, small room",Speech,0.9841029,0.003879583,0.00011930015
6.24,Silence,"Inside, small room",Television,0.9396168,0.018447205,0.0014638222
6.72,Silence,"Inside, small room",Mechanical fan,0.6475335,0.19621834,0.015298085
7.199999999999999,Silence,"Inside, small room",Mechanical fan,0.3429077,0.2850911,0.064054675
7.68,"Inside, small room",Silence,Breathing,0.20919456,0.10781527,0.10080674
8.16,Breathing,Snoring,Snort,0.39597175,0.28100443,0.22749856
8.64,"Inside, small room",Silence,Mechanical fan,0.36700884,0.1941116,0.02132948
9.12,Silence,"Inside, small room",Mechanical fan,0.42341313,0.15374492,0.017116576
9.6,Silence,"Inside, small room",Speech,0.99055237,0.001711019,0.00012072444
10.08,Silence,"Inside, small room",Mechanisms,0.9164445,0.029429743,0.0033461668
10.559999999999999,Silence,"Inside, small room",Speech,0.95815295,0.007548345,0.00025586956
11.04,Silence,"Inside, small room",Mechanical fan,0.29299757,0.20550908,0.072297856
11.52,Snoring,Breathing,"Inside, small room",0.6465489,0.5659257,0.1981816
12.0,Breathing,Snoring,Snort,0.8937477,0.881662,0.24212474
12.48,Silence,"Inside, small room",Breathing,0.4091925,0.2604958,0.06712007
12.959999999999999,Silence,"Inside, small room",Speech,0.8853534,0.06395508,0.0020122738
13.44,Silence,"Inside, small room",Mechanisms,0.853467,0.036070857,0.0030815352
13.92,Silence,"Inside, small room",Tick,0.90648913,0.020349504,0.0024520631
14.399999999999999,Silence,"Inside, small room",Television,0.9589417,0.0051045096,0.000476959
14.879999999999999,Silence,"Inside, small room",Television,0.900558,0.026251089,0.00226168
15.36,Silence,"Inside, small room",Breathing,0.47267392,0.15298365,0.0119036995
15.84,Breathing,Snoring,Silence,0.9563525,0.9467798,0.038801983
16.32,Breathing,Snoring,"Domestic animals, pets",0.99732786,0.9968303,0.009891688
16.8,Snoring,Breathing,Silence,0.9995793,0.99935466,0.0025977816
17.28,Silence,"Inside, small room",Speech,0.5122797,0.052127056,0.02695846
17.759999999999998,Silence,"Inside, small room",Television,0.9468967,0.005215414,0.00026473514
18.24,Silence,"Inside, small room",Noise,0.91168517,0.007587511,0.004887154
18.72,Silence,"Inside, small room",Speech,0.97776127,0.0010381532,8.533779e-05
19.2,Silence,"Inside, small room",Speech,0.97803694,0.0029358675,0.00011621597
19.68,Silence,"Inside, small room",Writing,0.58347476,0.18137388,0.008464403
20.16,Snoring,Breathing,Silence,0.5476499,0.47955626,0.25267395
20.64,Snoring,Breathing,Snort,0.6479861,0.62248635,0.19198388
21.119999999999997,"Inside, small room",Silence,Snoring,0.3333408,0.33169135,0.09503335
21.599999999999998,Silence,"Inside, small room",Television,0.5390685,0.10326625,0.006852135
22.08,Silence,"Inside, small room",Clicking,0.9061812,0.014817331,0.0013769462
22.56,Silence,"Inside, small room",Television,0.9698963,0.0041838014,0.00039556916
23.04,Silence,"Inside, small room",Speech,0.96775275,0.004336189,0.00022421448
23.52,Silence,"Inside, small room",Television,0.93763244,0.0151679935,0.0012854554
